software_a,software_b,tipo_evento,caso_uso_resumido,titulo_pagina,slug_url,descricao_curta,json_n8n_url,passos_resumo,tags
Facebook Ads,Notion,Lead,Integração CRM,Como integrar Facebook Ads com Notion usando N8N,facebook-ads-para-notion-n8n,Automação completa entre Facebook Ads e Notion. Integração CRM sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"api,marketing"
Facebook Ads,Airtable,Formulário,Coleta de respostas,Como integrar Facebook Ads com Airtable usando N8N,facebook-ads-para-airtable-n8n,Automação completa entre Facebook Ads e Airtable. Coleta de respostas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"marketing,vendas"
Facebook Ads,Zapier,Venda,Gestão de vendas,Como integrar Facebook Ads com Zapier usando N8N,facebook-ads-para-zapier-n8n,Automação completa entre Facebook Ads e Zapier. Gestão de vendas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"vendas,dados"
Facebook Ads,Pipedrive,Evento,Notificações personalizadas,Como integrar Facebook Ads com Pipedrive usando N8N,facebook-ads-para-pipedrive-n8n,Automação completa entre Facebook Ads e Pipedrive. Notificações personalizadas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"dados,crm"
Facebook Ads,HubSpot,Notificação,Processamento com IA,Como integrar Facebook Ads com HubSpot usando N8N,facebook-ads-para-hubspot-n8n,Automação completa entre Facebook Ads e HubSpot. Processamento com IA sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"crm,automação"
Facebook Ads,Trello,Backup,Consolidação de dados,Como integrar Facebook Ads com Trello usando N8N,facebook-ads-para-trello-n8n,Automação completa entre Facebook Ads e Trello. Consolidação de dados sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"automação,chat"
Facebook Ads,Jira,Sincronização,Automação de leads,Como integrar Facebook Ads com Jira usando N8N,facebook-ads-para-jira-n8n,Automação completa entre Facebook Ads e Jira. Automação de leads sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"chat,email"
Facebook Ads,GitHub,Lead,Sincronização de dados,Como integrar Facebook Ads com GitHub usando N8N,facebook-ads-para-github-n8n,Automação completa entre Facebook Ads e GitHub. Sincronização de dados sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"email,notificação"
Facebook Ads,GitLab,Formulário,Alertas em tempo real,Como integrar Facebook Ads com GitLab usando N8N,facebook-ads-para-gitlab-n8n,Automação completa entre Facebook Ads e GitLab. Alertas em tempo real sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"notificação,ia"
Facebook Ads,Twilio,Venda,Backup automático,Como integrar Facebook Ads com Twilio usando N8N,facebook-ads-para-twilio-n8n,Automação completa entre Facebook Ads e Twilio. Backup automático sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"ia,financeiro"
Facebook Ads,SendGrid,Evento,Integração CRM,Como integrar Facebook Ads com SendGrid usando N8N,facebook-ads-para-sendgrid-n8n,Automação completa entre Facebook Ads e SendGrid. Integração CRM sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"financeiro,e-commerce"
Facebook Ads,Mailchimp,Notificação,Coleta de respostas,Como integrar Facebook Ads com Mailchimp usando N8N,facebook-ads-para-mailchimp-n8n,Automação completa entre Facebook Ads e Mailchimp. Coleta de respostas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"e-commerce,blog"
Facebook Ads,WooCommerce,Backup,Gestão de vendas,Como integrar Facebook Ads com WooCommerce usando N8N,facebook-ads-para-woocommerce-n8n,Automação completa entre Facebook Ads e WooCommerce. Gestão de vendas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"blog,redes sociais"
Facebook Ads,Wix,Sincronização,Notificações personalizadas,Como integrar Facebook Ads com Wix usando N8N,facebook-ads-para-wix-n8n,Automação completa entre Facebook Ads e Wix. Notificações personalizadas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"redes sociais,backup"
Facebook Ads,Webflow,Lead,Processamento com IA,Como integrar Facebook Ads com Webflow usando N8N,facebook-ads-para-webflow-n8n,Automação completa entre Facebook Ads e Webflow. Processamento com IA sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"backup,api"
Google Sheets,WhatsApp,Formulário,Consolidação de dados,Como integrar Google Sheets com WhatsApp usando N8N,google-sheets-para-whatsapp-n8n,Automação completa entre Google Sheets e WhatsApp. Consolidação de dados sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"api,marketing"
Google Sheets,Slack,Venda,Automação de leads,Como integrar Google Sheets com Slack usando N8N,google-sheets-para-slack-n8n,Automação completa entre Google Sheets e Slack. Automação de leads sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"marketing,vendas"
Google Sheets,Typeform,Evento,Sincronização de dados,Como integrar Google Sheets com Typeform usando N8N,google-sheets-para-typeform-n8n,Automação completa entre Google Sheets e Typeform. Sincronização de dados sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"vendas,dados"
Google Sheets,RD Station,Notificação,Alertas em tempo real,Como integrar Google Sheets com RD Station usando N8N,google-sheets-para-rd-station-n8n,Automação completa entre Google Sheets e RD Station. Alertas em tempo real sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"dados,crm"
Google Sheets,Shopify,Backup,Backup automático,Como integrar Google Sheets com Shopify usando N8N,google-sheets-para-shopify-n8n,Automação completa entre Google Sheets e Shopify. Backup automático sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"crm,automação"
Google Sheets,Stripe,Sincronização,Integração CRM,Como integrar Google Sheets com Stripe usando N8N,google-sheets-para-stripe-n8n,Automação completa entre Google Sheets e Stripe. Integração CRM sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"automação,chat"
Google Sheets,Gmail,Lead,Coleta de respostas,Como integrar Google Sheets com Gmail usando N8N,google-sheets-para-gmail-n8n,Automação completa entre Google Sheets e Gmail. Coleta de respostas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"chat,email"
Google Sheets,Telegram,Formulário,Gestão de vendas,Como integrar Google Sheets com Telegram usando N8N,google-sheets-para-telegram-n8n,Automação completa entre Google Sheets e Telegram. Gestão de vendas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"email,notificação"
Google Sheets,Twitter,Venda,Notificações personalizadas,Como integrar Google Sheets com Twitter usando N8N,google-sheets-para-twitter-n8n,Automação completa entre Google Sheets e Twitter. Notificações personalizadas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"notificação,ia"
Google Sheets,Instagram,Evento,Processamento com IA,Como integrar Google Sheets com Instagram usando N8N,google-sheets-para-instagram-n8n,Automação completa entre Google Sheets e Instagram. Processamento com IA sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"ia,financeiro"
Google Sheets,LinkedIn,Notificação,Consolidação de dados,Como integrar Google Sheets com LinkedIn usando N8N,google-sheets-para-linkedin-n8n,Automação completa entre Google Sheets e LinkedIn. Consolidação de dados sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"financeiro,e-commerce"
Google Sheets,TikTok,Backup,Automação de leads,Como integrar Google Sheets com TikTok usando N8N,google-sheets-para-tiktok-n8n,Automação completa entre Google Sheets e TikTok. Automação de leads sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"e-commerce,blog"
Google Sheets,Discord,Sincronização,Sincronização de dados,Como integrar Google Sheets com Discord usando N8N,google-sheets-para-discord-n8n,Automação completa entre Google Sheets e Discord. Sincronização de dados sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"blog,redes sociais"
Google Sheets,Notion,Lead,Alertas em tempo real,Como integrar Google Sheets com Notion usando N8N,google-sheets-para-notion-n8n,Automação completa entre Google Sheets e Notion. Alertas em tempo real sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"redes sociais,backup"
Google Sheets,Airtable,Formulário,Backup automático,Como integrar Google Sheets com Airtable usando N8N,google-sheets-para-airtable-n8n,Automação completa entre Google Sheets e Airtable. Backup automático sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"backup,api"
Google Sheets,Zapier,Venda,Integração CRM,Como integrar Google Sheets com Zapier usando N8N,google-sheets-para-zapier-n8n,Automação completa entre Google Sheets e Zapier. Integração CRM sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"api,marketing"
Google Sheets,Pipedrive,Evento,Coleta de respostas,Como integrar Google Sheets com Pipedrive usando N8N,google-sheets-para-pipedrive-n8n,Automação completa entre Google Sheets e Pipedrive. Coleta de respostas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"marketing,vendas"
Google Sheets,HubSpot,Notificação,Gestão de vendas,Como integrar Google Sheets com HubSpot usando N8N,google-sheets-para-hubspot-n8n,Automação completa entre Google Sheets e HubSpot. Gestão de vendas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"vendas,dados"
Google Sheets,Trello,Backup,Notificações personalizadas,Como integrar Google Sheets com Trello usando N8N,google-sheets-para-trello-n8n,Automação completa entre Google Sheets e Trello. Notificações personalizadas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"dados,crm"
Google Sheets,Jira,Sincronização,Processamento com IA,Como integrar Google Sheets com Jira usando N8N,google-sheets-para-jira-n8n,Automação completa entre Google Sheets e Jira. Processamento com IA sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"crm,automação"
Google Sheets,GitHub,Lead,Consolidação de dados,Como integrar Google Sheets com GitHub usando N8N,google-sheets-para-github-n8n,Automação completa entre Google Sheets e GitHub. Consolidação de dados sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"automação,chat"
