modelId,downloads,likes,pipeline_tag,lastModified,tags,author,model_name,library_name,created_at,license,license_normalized,is_multilingual,is_quantized,languages,rank
pyannote/speaker-diarization-3.1,15676657,1361,automatic-speech-recognition,2024-05-10 19:43:23+00:00,"['pyannote-audio', 'pyannote', 'pyannote-audio-pipeline', 'audio', 'voice', 'speech', 'speaker', 'speaker-diarization', 'speaker-change-detection', 'voice-activity-detection', 'overlapped-speech-detection', 'automatic-speech-recognition', 'arxiv:2111.14448', 'arxiv:2012.01477', 'license:mit', 'endpoints_compatible', 'region:us']",pyannote,speaker-diarization-3.1,pyannote-audio,2023-11-16 08:19:01+00:00,mit,MIT,False,False,"['ar', 'en', 'de']",13
prajjwal1/bert-tiny,15495825,133,,2021-10-27 18:29:01+00:00,"['transformers', 'pytorch', 'BERT', 'MNLI', 'NLI', 'transformer', 'pre-training', 'en', 'arxiv:1908.08962', 'arxiv:2110.01518', 'license:mit', 'endpoints_compatible', 'region:us']",prajjwal1,bert-tiny,transformers,2022-03-02 23:29:05+00:00,mit,MIT,False,False,"['ar', 'en']",14
FacebookAI/roberta-large,14569517,256,fill-mask,2024-02-19 12:47:04+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'onnx', 'safetensors', 'roberta', 'fill-mask', 'exbert', 'en', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:1907.11692', 'arxiv:1806.02847', 'license:mit', 'endpoints_compatible', 'deploy:azure', 'region:us']",FacebookAI,roberta-large,transformers,2022-03-02 23:29:04+00:00,mit,MIT,False,False,"['ar', 'en', 'ja', 'de']",15
Bingsu/adetailer,13391323,638,,2024-11-21 12:40:27+00:00,"['ultralytics', 'pytorch', 'dataset:wider_face', 'dataset:skytnt/anime-segmentation', 'doi:10.57967/hf/3633', 'license:apache-2.0', 'region:us']",Bingsu,adetailer,ultralytics,2023-04-26 00:58:45+00:00,apache-2.0,Apache 2.0,False,False,"['en', 'de']",16
colbert-ir/colbertv2.0,11950050,300,,2024-04-05 20:18:44+00:00,"['transformers', 'pytorch', 'onnx', 'safetensors', 'bert', 'ColBERT', 'en', 'arxiv:2004.12832', 'arxiv:2007.00814', 'arxiv:2101.00436', 'arxiv:2112.01488', 'arxiv:2205.09707', 'license:mit', 'endpoints_compatible', 'region:us']",colbert-ir,colbertv2.0,transformers,2023-06-27 21:31:39+00:00,mit,MIT,False,False,"['ar', 'en']",17
omni-research/Tarsier2-Recap-7b,11323327,21,,2025-08-11 09:53:17+00:00,"['safetensors', 'video LLM', 'arxiv:2501.07888', 'license:apache-2.0', 'region:us']",omni-research,Tarsier2-Recap-7b,,2025-02-11 02:11:26+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",18
distilbert/distilbert-base-uncased,10436259,803,fill-mask,2024-05-06 13:44:53+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'distilbert', 'fill-mask', 'exbert', 'en', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:1910.01108', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']",distilbert,distilbert-base-uncased,transformers,2022-03-02 23:29:04+00:00,apache-2.0,Apache 2.0,False,False,"['ru', 'ja', 'de', 'en', 'ar']",19
Qwen/Qwen2.5-3B-Instruct,9736189,345,text-generation,2024-09-25 12:33:00+00:00,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-3B', 'base_model:finetune:Qwen/Qwen2.5-3B', 'license:other', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",Qwen,Qwen2.5-3B-Instruct,transformers,2024-09-17 14:08:52+00:00,other,Other,False,False,"['ar', 'en', 'de']",20
FacebookAI/roberta-base,9540098,535,fill-mask,2024-02-19 12:39:28+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'roberta', 'fill-mask', 'exbert', 'en', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:1907.11692', 'arxiv:1806.02847', 'license:mit', 'endpoints_compatible', 'deploy:azure', 'region:us']",FacebookAI,roberta-base,transformers,2022-03-02 23:29:04+00:00,mit,MIT,False,False,"['ru', 'ja', 'de', 'en', 'ar']",21
openai-community/gpt2,9494594,3051,text-generation,2024-02-19 10:57:45+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'tflite', 'rust', 'onnx', 'safetensors', 'gpt2', 'text-generation', 'exbert', 'en', 'doi:10.57967/hf/0039', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",openai-community,gpt2,transformers,2022-03-02 23:29:04+00:00,mit,MIT,False,False,"['ru', 'ja', 'pt', 'de', 'en']",22
jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn,9364211,122,automatic-speech-recognition,2022-12-14 01:58:32+00:00,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'speech', 'xlsr-fine-tuning-week', 'zh', 'dataset:common_voice', 'doi:10.57967/hf/3570', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'deploy:azure', 'region:us']",jonatasgrosman,wav2vec2-large-xlsr-53-chinese-zh-cn,transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['zh', 'en', 'ja', 'de']",23
ETH-CVG/lightglue_superpoint,8586897,57,keypoint-detection,2025-07-17 09:34:38+00:00,"['transformers', 'safetensors', 'lightglue', 'keypoint-matching', 'keypoint-detection', 'arxiv:2306.13643', 'license:other', 'endpoints_compatible', 'region:us']",ETH-CVG,lightglue_superpoint,transformers,2025-02-20 15:52:56+00:00,other,Other,False,False,"['ar', 'en', 'de']",24
magic-leap-community/superpoint,8562082,22,keypoint-detection,2025-01-01 19:30:19+00:00,"['transformers', 'pytorch', 'safetensors', 'superpoint', 'feature-extraction', 'vision', 'image-matching', 'keypoint-detection', 'arxiv:1712.07629', 'license:other', 'region:us']",magic-leap-community,superpoint,transformers,2024-03-13 17:24:17+00:00,other,Other,False,False,"['ar', 'en', 'de']",25
openai/clip-vit-large-patch14,8369108,1919,zero-shot-image-classification,2023-09-15 15:49:35+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'clip', 'zero-shot-image-classification', 'vision', 'arxiv:2103.00020', 'arxiv:1908.04913', 'endpoints_compatible', 'region:us']",openai,clip-vit-large-patch14,transformers,2022-03-02 23:29:05+00:00,unknown,Unknown,False,False,"['ar', 'en', 'ja']",26
timm/resnet50.a1_in1k,8198892,39,image-classification,2025-07-11 18:17:03+00:00,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'arxiv:2110.00476', 'arxiv:1512.03385', 'license:apache-2.0', 'region:us']",timm,resnet50.a1_in1k,timm,2023-04-05 18:07:45+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en']",27
BAAI/bge-m3,8197652,2572,sentence-similarity,2024-07-03 14:50:10+00:00,"['sentence-transformers', 'pytorch', 'onnx', 'xlm-roberta', 'feature-extraction', 'sentence-similarity', 'arxiv:2402.03216', 'arxiv:2004.04906', 'arxiv:2106.14807', 'arxiv:2107.05720', 'arxiv:2004.12832', 'license:mit', 'text-embeddings-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",BAAI,bge-m3,sentence-transformers,2024-01-27 17:07:29+00:00,mit,MIT,False,False,"['ar', 'en', 'de']",28
openai/gpt-oss-20b,8157648,4050,text-generation,2025-08-26 17:25:47+00:00,"['transformers', 'safetensors', 'gpt_oss', 'text-generation', 'vllm', 'conversational', 'arxiv:2508.10925', 'license:apache-2.0', 'endpoints_compatible', '8-bit', 'mxfp4', 'deploy:azure', 'region:us']",openai,gpt-oss-20b,transformers,2025-08-04 22:33:29+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'pt', 'de']",29
jonatasgrosman/wav2vec2-large-xlsr-53-russian,7981061,63,automatic-speech-recognition,2022-12-14 01:58:43+00:00,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'mozilla-foundation/common_voice_6_0', 'robust-speech-event', 'ru', 'speech', 'xlsr-fine-tuning-week', 'dataset:common_voice', 'dataset:mozilla-foundation/common_voice_6_0', 'doi:10.57967/hf/3571', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'deploy:azure', 'region:us']",jonatasgrosman,wav2vec2-large-xlsr-53-russian,transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['ru', 'ja', 'de', 'en', 'ar']",30
facebook/contriever,7809683,71,,2022-01-19 17:23:28+00:00,"['transformers', 'pytorch', 'bert', 'arxiv:2112.09118', 'endpoints_compatible', 'region:us']",facebook,contriever,transformers,2022-03-02 23:29:05+00:00,unknown,Unknown,False,False,"['ar', 'en']",31
Qwen/Qwen3-0.6B,7556100,864,text-generation,2025-07-26 03:46:27+00:00,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'arxiv:2505.09388', 'base_model:Qwen/Qwen3-0.6B-Base', 'base_model:finetune:Qwen/Qwen3-0.6B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",Qwen,Qwen3-0.6B,transformers,2025-04-27 03:40:08+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",32
Qwen/Qwen2.5-VL-3B-Instruct,7473582,575,image-text-to-text,2025-04-06 16:23:42+00:00,"['transformers', 'safetensors', 'qwen2_5_vl', 'image-to-text', 'multimodal', 'image-text-to-text', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2409.12191', 'arxiv:2308.12966', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",Qwen,Qwen2.5-VL-3B-Instruct,transformers,2025-01-26 09:25:35+00:00,unknown,Unknown,False,False,"['ar', 'en', 'de']",33
FacebookAI/xlm-roberta-base,7192235,773,fill-mask,2024-02-19 12:48:21+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'onnx', 'safetensors', 'xlm-roberta', 'fill-mask', 'exbert', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'arxiv:1911.02116', 'license:mit', 'endpoints_compatible', 'deploy:azure', 'region:us']",FacebookAI,xlm-roberta-base,transformers,2022-03-02 23:29:04+00:00,mit,MIT,True,False,"['ru', 'zh', 'ja', 'pt', 'de', 'ko', 'en', 'es', 'ar', 'fr']",34
cross-encoder/ms-marco-MiniLM-L6-v2,7088036,173,text-ranking,2025-08-29 14:36:10+00:00,"['sentence-transformers', 'pytorch', 'jax', 'onnx', 'safetensors', 'openvino', 'bert', 'text-classification', 'transformers', 'text-ranking', 'en', 'dataset:sentence-transformers/msmarco', 'base_model:cross-encoder/ms-marco-MiniLM-L12-v2', 'base_model:quantized:cross-encoder/ms-marco-MiniLM-L12-v2', 'license:apache-2.0', 'region:us']",cross-encoder,ms-marco-MiniLM-L6-v2,sentence-transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,True,"['ar', 'en', 'ja', 'de']",35
usyd-community/vitpose-plus-base,7008324,26,keypoint-detection,2025-01-08 12:42:35+00:00,"['transformers', 'safetensors', 'vitpose', 'keypoint-detection', 'en', 'arxiv:2204.12484', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",usyd-community,vitpose-plus-base,transformers,2025-01-08 12:42:22+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",36
Qwen/Qwen2.5-7B-Instruct,6871836,939,text-generation,2025-01-12 02:10:10+00:00,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-7B', 'base_model:finetune:Qwen/Qwen2.5-7B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",Qwen,Qwen2.5-7B-Instruct,transformers,2024-09-16 11:55:40+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",37
coqui/XTTS-v2,6416674,3224,text-to-speech,2023-12-11 17:50:00+00:00,"['coqui', 'text-to-speech', 'license:other', 'region:us']",coqui,XTTS-v2,coqui,2023-10-31 10:11:33+00:00,other,Other,False,False,['en'],38
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,6251113,486,,2025-12-09 09:02:14+00:00,"['diffusion-single-file', 'comfyui', 'region:us']",Comfy-Org,Wan_2.2_ComfyUI_Repackaged,diffusion-single-file,2025-07-27 06:56:12+00:00,unknown,Unknown,False,False,[],39
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,6207164,430,sentence-similarity,2025-08-19 10:29:38+00:00,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'xlm-roberta', 'feature-extraction', 'sentence-similarity', 'transformers', 'text-embeddings-inference', 'multilingual', 'ar', 'bg', 'ca', 'cs', 'da', 'de', 'el', 'en', 'es', 'et', 'fa', 'fi', 'fr', 'gl', 'gu', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'it', 'ja', 'ka', 'ko', 'ku', 'lt', 'lv', 'mk', 'mn', 'mr', 'ms', 'my', 'nb', 'nl', 'pl', 'pt', 'ro', 'ru', 'sk', 'sl', 'sq', 'sr', 'sv', 'th', 'tr', 'uk', 'ur', 'vi', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",sentence-transformers,paraphrase-multilingual-mpnet-base-v2,sentence-transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,True,False,"['ru', 'ja', 'pt', 'de', 'ko', 'en', 'es', 'ar', 'fr']",40
meta-llama/Llama-3.1-8B-Instruct,5990330,5118,text-generation,2024-09-25 17:00:57+00:00,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'arxiv:2204.05149', 'base_model:meta-llama/Llama-3.1-8B', 'base_model:finetune:meta-llama/Llama-3.1-8B', 'license:llama3.1', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",meta-llama,Llama-3.1-8B-Instruct,transformers,2024-07-18 08:56:00+00:00,llama3.1,Llama3.1,False,False,"['pt', 'de', 'en', 'es', 'ar', 'fr']",41
Kijai/WanVideo_comfy,5930922,1836,,2025-12-09 23:19:21+00:00,"['diffusion-single-file', 'comfyui', 'base_model:Wan-AI/Wan2.1-VACE-1.3B', 'base_model:finetune:Wan-AI/Wan2.1-VACE-1.3B', 'region:us']",Kijai,WanVideo_comfy,diffusion-single-file,2025-02-25 17:54:17+00:00,unknown,Unknown,False,False,['de'],42
Qwen/Qwen3-4B-Instruct-2507,5861856,546,text-generation,2025-09-17 06:56:53+00:00,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'arxiv:2505.09388', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",Qwen,Qwen3-4B-Instruct-2507,transformers,2025-08-05 10:58:03+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",43
autogluon/chronos-bolt-small,5772276,20,time-series-forecasting,2025-10-30 09:20:15+00:00,"['safetensors', 't5', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:1910.10683', 'arxiv:2403.07815', 'license:apache-2.0', 'region:us']",autogluon,chronos-bolt-small,,2024-11-13 13:28:57+00:00,apache-2.0,Apache 2.0,False,False,"['es', 'ar', 'en', 'de']",44
Qwen/Qwen2.5-Coder-0.5B-Instruct,5722977,54,text-generation,2024-11-18 12:52:41+00:00,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'code', 'codeqwen', 'chat', 'qwen', 'qwen-coder', 'conversational', 'en', 'arxiv:2409.12186', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-Coder-0.5B', 'base_model:finetune:Qwen/Qwen2.5-Coder-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",Qwen,Qwen2.5-Coder-0.5B-Instruct,transformers,2024-11-06 07:49:26+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",45
Qwen/Qwen2.5-1.5B-Instruct,5669092,565,text-generation,2024-09-25 12:32:50+00:00,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-1.5B', 'base_model:finetune:Qwen/Qwen2.5-1.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",Qwen,Qwen2.5-1.5B-Instruct,transformers,2024-09-17 14:10:29+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",46
google-bert/bert-base-multilingual-uncased,5479260,145,fill-mask,2024-02-19 11:06:00+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'fill-mask', 'multilingual', 'af', 'sq', 'ar', 'an', 'hy', 'ast', 'az', 'ba', 'eu', 'bar', 'be', 'bn', 'inc', 'bs', 'br', 'bg', 'my', 'ca', 'ceb', 'ce', 'zh', 'cv', 'hr', 'cs', 'da', 'nl', 'en', 'et', 'fi', 'fr', 'gl', 'ka', 'de', 'el', 'gu', 'ht', 'he', 'hi', 'hu', 'is', 'io', 'id', 'ga', 'it', 'ja', 'jv', 'kn', 'kk', 'ky', 'ko', 'la', 'lv', 'lt', 'roa', 'nds', 'lm', 'mk', 'mg', 'ms', 'ml', 'mr', 'min', 'ne', 'new', 'nb', 'nn', 'oc', 'fa', 'pms', 'pl', 'pt', 'pa', 'ro', 'ru', 'sco', 'sr', 'scn', 'sk', 'sl', 'aze', 'es', 'su', 'sw', 'sv', 'tl', 'tg', 'ta', 'tt', 'te', 'tr', 'uk', 'ud', 'uz', 'vi', 'vo', 'war', 'cy', 'fry', 'pnb', 'yo', 'dataset:wikipedia', 'arxiv:1810.04805', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']",google-bert,bert-base-multilingual-uncased,transformers,2022-03-02 23:29:04+00:00,apache-2.0,Apache 2.0,True,False,"['ru', 'zh', 'ja', 'pt', 'de', 'ko', 'en', 'es', 'ar', 'fr']",47
jonatasgrosman/wav2vec2-large-xlsr-53-japanese,5363556,44,automatic-speech-recognition,2022-12-14 01:58:09+00:00,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'speech', 'xlsr-fine-tuning-week', 'ja', 'dataset:common_voice', 'doi:10.57967/hf/3568', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'deploy:azure', 'region:us']",jonatasgrosman,wav2vec2-large-xlsr-53-japanese,transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['en', 'ja', 'de']",48
